Year,Month,Consultation_Type,Case,Total_Patients,Predicted,Date
2023,4,1,1,388,388,2023-04
2023,4,1,2,324,230,2023-04
2023,4,1,3,167,228,2023-04
2023,4,1,4,150,157,2023-04
2023,4,1,5,147,129,2023-04
2023,4,1,6,122,142,2023-04
2023,4,1,7,100,102,2023-04
2023,4,1,8,82,83,2023-04
2023,4,1,9,78,96,2023-04
2023,4,1,10,59,69,2023-04
2023,4,2,11,196,224,2023-04
2023,4,2,12,165,152,2023-04
2023,4,2,13,138,110,2023-04
2023,4,2,14,63,56,2023-04
2023,4,2,15,120,101,2023-04
2023,4,2,16,90,80,2023-04
2023,4,2,17,72,70,2023-04
2023,4,2,18,35,46,2023-04
2023,4,2,19,58,57,2023-04
2023,4,2,20,43,50,2023-04
2023,4,3,21,5,4,2023-04
2023,4,3,22,4,4,2023-04
2023,4,3,23,3,4,2023-04
2023,4,3,24,1,1,2023-04
2023,4,3,25,1,1,2023-04
2023,4,3,26,1,1,2023-04
2023,4,3,27,1,1,2023-04
2023,4,3,28,1,1,2023-04
2023,4,3,29,1,1,2023-04
2023,4,3,30,1,1,2023-04
2023,4,3,31,1,1,2023-04
2023,4,3,32,1,1,2023-04
2023,5,1,1,411,377,2023-05
2023,5,1,3,181,182,2023-05
2023,5,1,4,160,160,2023-05
2023,5,1,5,97,93,2023-05
2023,5,1,6,91,114,2023-05
2023,5,1,7,107,107,2023-05
2023,5,1,10,77,74,2023-05
2023,5,1,17,61,61,2023-05
2023,5,1,45,64,65,2023-05
2023,5,1,60,58,65,2023-05
2023,5,2,11,163,183,2023-05
2023,5,2,12,132,139,2023-05
2023,5,2,13,51,69,2023-05
2023,5,2,14,33,36,2023-05
2023,5,2,15,48,62,2023-05
2023,5,2,16,26,46,2023-05
2023,5,2,18,37,37,2023-05
2023,5,2,19,30,42,2023-05
2023,5,2,20,34,39,2023-05
2023,5,2,137,63,54,2023-05
2023,5,3,23,4,4,2023-05
2023,5,3,38,7,6,2023-05
2023,5,3,46,1,1,2023-05
2023,5,3,138,1,1,2023-05
2023,5,3,139,1,1,2023-05
2023,5,3,140,1,1,2023-05
2023,5,3,141,1,1,2023-05
2023,5,3,142,1,1,2023-05
2023,6,1,1,728,327,2023-06
2023,6,1,3,157,163,2023-06
2023,6,1,4,188,175,2023-06
2023,6,1,5,67,86,2023-06
2023,6,1,7,118,115,2023-06
2023,6,1,8,61,67,2023-06
2023,6,1,9,168,142,2023-06
2023,6,1,10,74,73,2023-06
2023,6,1,17,63,60,2023-06
2023,6,1,110,90,81,2023-06
2023,6,2,11,78,159,2023-06
2023,6,2,12,159,148,2023-06
2023,6,2,14,57,43,2023-06
2023,6,2,15,80,71,2023-06
2023,6,2,16,95,75,2023-06
2023,6,2,17,65,66,2023-06
2023,6,2,48,65,77,2023-06
2023,6,2,68,58,40,2023-06
2023,6,2,111,42,46,2023-06
2023,6,2,112,33,43,2023-06
2023,6,3,23,2,3,2023-06
2023,6,3,38,8,6,2023-06
2023,6,3,75,2,1,2023-06
2023,6,3,113,3,2,2023-06
2023,6,3,114,2,2,2023-06
2023,6,3,115,2,2,2023-06
2023,6,3,116,1,1,2023-06
2023,6,3,117,1,1,2023-06
2023,6,3,118,1,1,2023-06
2023,6,3,119,1,1,2023-06
2023,7,1,1,399,396,2023-07
2023,7,1,3,162,166,2023-07
2023,7,1,4,136,149,2023-07
2023,7,1,5,63,71,2023-07
2023,7,1,6,114,125,2023-07
2023,7,1,7,116,116,2023-07
2023,7,1,8,83,78,2023-07
2023,7,1,10,70,72,2023-07
2023,7,1,17,52,57,2023-07
2023,7,1,45,64,66,2023-07
2023,7,2,11,133,137,2023-07
2023,7,2,12,97,144,2023-07
2023,7,2,15,70,68,2023-07
2023,7,2,17,64,65,2023-07
2023,7,2,62,186,118,2023-07
2023,7,2,68,27,27,2023-07
2023,7,2,75,22,27,2023-07
2023,7,2,95,29,31,2023-07
2023,7,2,96,23,29,2023-07
2023,7,2,97,22,31,2023-07
2023,7,3,22,2,5,2023-07
2023,7,3,38,2,3,2023-07
2023,7,3,98,3,2,2023-07
2023,7,3,99,3,2,2023-07
2023,7,3,100,1,1,2023-07
2023,7,3,101,1,1,2023-07
2023,7,3,102,1,1,2023-07
2023,7,3,103,1,1,2023-07
2023,7,3,104,1,1,2023-07
2023,7,3,105,1,1,2023-07
2023,8,1,1,272,348,2023-08
2023,8,1,3,146,157,2023-08
2023,8,1,4,119,130,2023-08
2023,8,1,5,89,83,2023-08
2023,8,1,7,113,114,2023-08
2023,8,1,8,90,88,2023-08
2023,8,1,9,132,133,2023-08
2023,8,1,10,74,77,2023-08
2023,8,1,17,61,64,2023-08
2023,8,1,45,69,73,2023-08
2023,8,2,12,114,109,2023-08
2023,8,2,15,69,64,2023-08
2023,8,2,16,29,44,2023-08
2023,8,2,17,71,69,2023-08
2023,8,2,35,32,43,2023-08
2023,8,2,46,156,37,2023-08
2023,8,2,47,111,151,2023-08
2023,8,2,48,46,76,2023-08
2023,8,2,49,41,37,2023-08
2023,8,2,50,26,29,2023-08
2023,8,3,21,3,2,2023-08
2023,8,3,22,6,5,2023-08
2023,8,3,51,5,5,2023-08
2023,8,3,52,2,2,2023-08
2023,8,3,53,1,1,2023-08
2023,8,3,54,1,1,2023-08
2023,8,3,55,1,1,2023-08
2023,8,3,56,1,1,2023-08
2023,8,3,57,1,1,2023-08
2023,8,3,58,1,1,2023-08
2023,9,1,1,513,440,2023-09
2023,9,1,3,168,165,2023-09
2023,9,1,4,142,142,2023-09
2023,9,1,5,68,73,2023-09
2023,9,1,6,391,302,2023-09
2023,9,1,7,137,134,2023-09
2023,9,1,8,87,87,2023-09
2023,9,1,10,92,86,2023-09
2023,9,1,59,78,105,2023-09
2023,9,1,60,78,78,2023-09
2023,9,2,11,84,98,2023-09
2023,9,2,12,87,95,2023-09
2023,9,2,14,14,29,2023-09
2023,9,2,15,41,60,2023-09
2023,9,2,16,32,37,2023-09
2023,9,2,17,71,71,2023-09
2023,9,2,34,57,109,2023-09
2023,9,2,47,259,229,2023-09
2023,9,2,61,69,80,2023-09
2023,9,2,68,16,20,2023-09
2023,9,3,63,6,7,2023-09
2023,9,3,174,1,1,2023-09
2023,9,3,175,1,1,2023-09
2023,9,3,176,1,1,2023-09
2023,9,3,177,1,1,2023-09
2023,9,3,178,1,1,2023-09
2023,9,3,179,1,1,2023-09
2023,9,3,180,1,1,2023-09
2023,9,3,181,1,1,2023-09
2023,9,3,182,1,1,2023-09
2023,10,1,1,680,626,2023-10
2023,10,1,3,187,196,2023-10
2023,10,1,4,175,163,2023-10
2023,10,1,5,74,76,2023-10
2023,10,1,6,490,358,2023-10
2023,10,1,7,146,147,2023-10
2023,10,1,8,78,82,2023-10
2023,10,1,10,91,87,2023-10
2023,10,1,17,73,72,2023-10
2023,10,1,59,128,113,2023-10
2023,10,2,11,95,99,2023-10
2023,10,2,12,96,98,2023-10
2023,10,2,14,39,44,2023-10
2023,10,2,15,64,56,2023-10
2023,10,2,16,57,49,2023-10
2023,10,2,17,67,69,2023-10
2023,10,2,34,47,110,2023-10
2023,10,2,47,291,307,2023-10
2023,10,2,61,123,106,2023-10
2023,10,2,68,23,27,2023-10
2023,10,3,21,1,2,2023-10
2023,10,3,23,2,2,2023-10
2023,10,3,34,1,2,2023-10
2023,10,3,47,3,1,2023-10
2023,10,3,52,1,1,2023-10
2023,10,3,63,6,7,2023-10
2023,10,3,163,1,1,2023-10
2023,10,3,164,1,1,2023-10
2023,10,3,165,1,1,2023-10
2023,10,3,166,1,1,2023-10
2023,11,1,1,730,699,2023-11
2023,11,1,3,189,205,2023-11
2023,11,1,4,181,164,2023-11
2023,11,1,5,76,77,2023-11
2023,11,1,6,409,382,2023-11
2023,11,1,7,129,147,2023-11
2023,11,1,17,67,70,2023-11
2023,11,1,59,95,98,2023-11
2023,11,1,60,65,76,2023-11
2023,11,1,82,59,65,2023-11
2023,11,2,11,78,99,2023-11
2023,11,2,12,118,110,2023-11
2023,11,2,14,49,50,2023-11
2023,11,2,15,31,42,2023-11
2023,11,2,16,38,40,2023-11
2023,11,2,47,265,287,2023-11
2023,11,2,48,131,129,2023-11
2023,11,2,50,11,38,2023-11
2023,11,2,62,68,117,2023-11
2023,11,2,148,1,15,2023-11
2023,11,3,63,15,12,2023-11
2023,11,3,149,2,1,2023-11
2023,11,3,150,1,1,2023-11
2023,11,3,151,1,1,2023-11
2023,11,3,152,1,1,2023-11
2023,11,3,153,0,1,2023-11
2023,11,3,154,1,1,2023-11
2023,11,3,155,1,1,2023-11
2023,11,3,156,2,2,2023-11
2023,11,3,157,3,2,2023-11
2023,12,1,1,522,621,2023-12
2023,12,1,3,234,216,2023-12
2023,12,1,4,143,159,2023-12
2023,12,1,5,92,86,2023-12
2023,12,1,6,339,339,2023-12
2023,12,1,7,123,137,2023-12
2023,12,1,8,66,72,2023-12
2023,12,1,10,81,81,2023-12
2023,12,1,17,73,71,2023-12
2023,12,1,59,71,83,2023-12
2023,12,2,11,116,99,2023-12
2023,12,2,12,88,97,2023-12
2023,12,2,14,33,38,2023-12
2023,12,2,15,46,46,2023-12
2023,12,2,16,24,29,2023-12
2023,12,2,17,66,67,2023-12
2023,12,2,36,35,34,2023-12
2023,12,2,47,132,252,2023-12
2023,12,2,61,130,112,2023-12
2023,12,2,68,22,28,2023-12
2023,12,3,22,2,5,2023-12
2023,12,3,23,2,3,2023-12
2023,12,3,63,6,8,2023-12
2023,12,3,64,2,2,2023-12
2023,12,3,69,1,1,2023-12
2023,12,3,70,1,1,2023-12
2023,12,3,71,1,1,2023-12
2023,12,3,72,1,1,2023-12
2023,12,3,73,1,1,2023-12
2024,1,1,1,445,417,2024-01
2024,1,1,3,361,316,2024-01
2024,1,1,4,174,169,2024-01
2024,1,1,5,145,165,2024-01
2024,1,1,6,280,265,2024-01
2024,1,1,7,171,140,2024-01
2024,1,1,8,87,84,2024-01
2024,1,1,10,81,80,2024-01
2024,1,1,17,65,71,2024-01
2024,1,1,33,63,66,2024-01
2024,1,2,11,195,195,2024-01
2024,1,2,12,95,119,2024-01
2024,1,2,15,66,39,2024-01
2024,1,2,16,39,44,2024-01
2024,1,2,17,56,56,2024-01
2024,1,2,34,64,253,2024-01
2024,1,2,47,136,155,2024-01
2024,1,2,61,46,75,2024-01
2024,1,2,62,42,44,2024-01
2024,1,2,75,38,41,2024-01
2024,1,3,22,4,3,2024-01
2024,1,3,23,5,5,2024-01
2024,1,3,63,6,6,2024-01
2024,1,3,64,4,3,2024-01
2024,1,3,89,1,1,2024-01
2024,1,3,90,1,1,2024-01
2024,1,3,91,1,1,2024-01
2024,1,3,92,1,1,2024-01
2024,1,3,93,1,1,2024-01
2024,1,3,94,1,1,2024-01
2024,2,1,1,383,393,2024-02
2024,2,1,3,330,316,2024-02
2024,2,1,4,185,169,2024-02
2024,2,1,5,193,168,2024-02
2024,2,1,6,259,257,2024-02
2024,2,1,7,154,140,2024-02
2024,2,1,8,85,85,2024-02
2024,2,1,10,80,80,2024-02
2024,2,1,33,67,67,2024-02
2024,2,1,82,70,72,2024-02
2024,2,2,11,193,195,2024-02
2024,2,2,12,99,119,2024-02
2024,2,2,15,36,41,2024-02
2024,2,2,17,58,58,2024-02
2024,2,2,36,59,55,2024-02
2024,2,2,47,174,168,2024-02
2024,2,2,62,53,51,2024-02
2024,2,2,83,1228,778,2024-02
2024,2,2,84,43,49,2024-02
2024,2,2,85,29,45,2024-02
2024,2,3,22,2,3,2024-02
2024,2,3,23,5,5,2024-02
2024,2,3,38,9,7,2024-02
2024,2,3,47,1,1,2024-02
2024,2,3,86,1,1,2024-02
2024,2,3,87,1,1,2024-02
2024,2,3,88,1,1,2024-02
2024,3,1,1,352,360,2024-03
2024,3,1,3,237,250,2024-03
2024,3,1,4,171,169,2024-03
2024,3,1,5,140,149,2024-03
2024,3,1,6,234,233,2024-03
2024,3,1,7,113,126,2024-03
2024,3,1,8,98,97,2024-03
2024,3,1,10,103,97,2024-03
2024,3,1,33,76,73,2024-03
2024,3,1,60,67,81,2024-03
2024,3,2,11,157,185,2024-03
2024,3,2,12,119,129,2024-03
2024,3,2,15,33,36,2024-03
2024,3,2,17,68,61,2024-03
2024,3,2,34,185,253,2024-03
2024,3,2,37,34,39,2024-03
2024,3,2,49,24,31,2024-03
2024,3,2,50,41,40,2024-03
2024,3,2,128,47,43,2024-03
2024,3,2,129,23,29,2024-03
2024,3,3,22,2,3,2024-03
2024,3,3,23,3,4,2024-03
2024,3,3,38,1,4,2024-03
2024,3,3,130,1,1,2024-03
2024,3,3,131,1,1,2024-03
2024,3,3,132,1,1,2024-03
2024,3,3,133,1,1,2024-03
2024,3,3,134,1,1,2024-03
2024,3,3,135,1,1,2024-03
2024,3,3,136,1,1,2024-03
2024,4,1,1,319,329,2024-04
2024,4,1,3,245,232,2024-04
2024,4,1,4,173,170,2024-04
2024,4,1,5,145,140,2024-04
2024,4,1,6,143,146,2024-04
2024,4,1,7,129,124,2024-04
2024,4,1,8,88,90,2024-04
2024,4,1,10,90,90,2024-04
2024,4,1,17,87,87,2024-04
2024,4,1,33,70,69,2024-04
2024,4,2,11,298,246,2024-04
2024,4,2,12,200,160,2024-04
2024,4,2,14,42,44,2024-04
2024,4,2,16,69,52,2024-04
2024,4,2,17,83,68,2024-04
2024,4,2,20,84,80,2024-04
2024,4,2,34,269,254,2024-04
2024,4,2,35,92,84,2024-04
2024,4,2,36,66,57,2024-04
2024,4,2,37,40,47,2024-04
2024,4,3,21,2,3,2024-04
2024,4,3,22,3,3,2024-04
2024,4,3,23,6,5,2024-04
2024,4,3,38,6,5,2024-04
2024,4,3,39,1,1,2024-04
2024,4,3,40,1,1,2024-04
2024,4,3,41,1,1,2024-04
2024,4,3,42,1,1,2024-04
2024,4,3,43,1,1,2024-04
2024,4,3,44,1,1,2024-04
2024,5,1,1,272,296,2024-05
2024,5,1,3,183,187,2024-05
2024,5,1,4,166,166,2024-05
2024,5,1,5,103,108,2024-05
2024,5,1,6,116,117,2024-05
2024,5,1,7,122,123,2024-05
2024,5,1,8,89,89,2024-05
2024,5,1,10,73,88,2024-05
2024,5,1,17,90,88,2024-05
2024,5,1,82,81,82,2024-05
2024,5,2,11,197,211,2024-05
2024,5,2,12,259,210,2024-05
2024,5,2,16,56,53,2024-05
2024,5,2,17,69,72,2024-05
2024,5,2,20,94,86,2024-05
2024,5,2,34,298,264,2024-05
2024,5,2,36,61,57,2024-05
2024,5,2,84,121,75,2024-05
2024,5,2,113,52,54,2024-05
2024,5,2,128,42,49,2024-05
2024,5,3,23,2,3,2024-05
2024,5,3,34,7,5,2024-05
2024,5,3,36,1,1,2024-05
2024,5,3,38,7,7,2024-05
2024,5,3,113,1,1,2024-05
2024,5,3,143,1,1,2024-05
2024,5,3,144,1,1,2024-05
2024,5,3,145,1,1,2024-05
2024,5,3,146,1,1,2024-05
2024,5,3,147,1,1,2024-05
2024,6,1,1,218,253,2024-06
2024,6,1,3,162,171,2024-06
2024,6,1,4,144,155,2024-06
2024,6,1,5,100,100,2024-06
2024,6,1,6,70,89,2024-06
2024,6,1,7,128,127,2024-06
2024,6,1,8,74,79,2024-06
2024,6,1,10,73,78,2024-06
2024,6,1,17,86,83,2024-06
2024,6,1,33,54,63,2024-06
2024,6,2,11,189,184,2024-06
2024,6,2,12,140,174,2024-06
2024,6,2,14,34,54,2024-06
2024,6,2,15,47,51,2024-06
2024,6,2,16,49,54,2024-06
2024,6,2,17,81,72,2024-06
2024,6,2,20,69,75,2024-06
2024,6,2,34,182,205,2024-06
2024,6,2,36,46,52,2024-06
2024,6,2,84,102,83,2024-06
2024,6,3,23,3,3,2024-06
2024,6,3,38,8,7,2024-06
2024,6,3,120,2,1,2024-06
2024,6,3,121,1,1,2024-06
2024,6,3,122,1,1,2024-06
2024,6,3,123,1,1,2024-06
2024,6,3,124,1,1,2024-06
2024,6,3,125,1,1,2024-06
2024,6,3,126,1,1,2024-06
2024,6,3,127,1,1,2024-06
2024,7,1,1,475,388,2024-07
2024,7,1,3,212,194,2024-07
2024,7,1,4,148,154,2024-07
2024,7,1,5,102,96,2024-07
2024,7,1,6,149,126,2024-07
2024,7,1,7,132,127,2024-07
2024,7,1,8,92,92,2024-07
2024,7,1,10,96,89,2024-07
2024,7,1,33,81,75,2024-07
2024,7,1,60,63,71,2024-07
2024,7,2,11,162,161,2024-07
2024,7,2,12,222,207,2024-07
2024,7,2,14,124,101,2024-07
2024,7,2,15,58,63,2024-07
2024,7,2,16,81,75,2024-07
2024,7,2,20,100,91,2024-07
2024,7,2,47,233,210,2024-07
2024,7,2,62,121,85,2024-07
2024,7,2,68,59,61,2024-07
2024,7,2,84,89,89,2024-07
2024,7,3,22,3,3,2024-07
2024,7,3,23,4,4,2024-07
2024,7,3,38,3,4,2024-07
2024,7,3,51,3,3,2024-07
2024,7,3,52,3,2,2024-07
2024,7,3,62,1,1,2024-07
2024,7,3,106,2,2,2024-07
2024,7,3,107,1,1,2024-07
2024,7,3,108,1,1,2024-07
2024,7,3,109,1,1,2024-07
2024,8,1,1,368,360,2024-08
2024,8,1,3,174,178,2024-08
2024,8,1,4,174,163,2024-08
2024,8,1,5,82,84,2024-08
2024,8,1,6,102,117,2024-08
2024,8,1,7,195,133,2024-08
2024,8,1,8,107,101,2024-08
2024,8,1,10,89,90,2024-08
2024,8,1,59,85,92,2024-08
2024,8,1,60,80,78,2024-08
2024,8,2,11,164,150,2024-08
2024,8,2,12,191,201,2024-08
2024,8,2,14,86,101,2024-08
2024,8,2,16,72,72,2024-08
2024,8,2,17,55,65,2024-08
2024,8,2,20,66,76,2024-08
2024,8,2,35,143,118,2024-08
2024,8,2,47,187,187,2024-08
2024,8,2,61,100,103,2024-08
2024,8,2,62,96,84,2024-08
2024,8,3,22,3,4,2024-08
2024,8,3,23,3,3,2024-08
2024,8,3,51,3,4,2024-08
2024,8,3,52,1,2,2024-08
2024,8,3,63,6,6,2024-08
2024,8,3,64,2,3,2024-08
2024,8,3,65,1,1,2024-08
2024,8,3,66,1,1,2024-08
2024,8,3,67,1,1,2024-08
2024,9,1,1,369,415,2024-09
2024,9,1,3,170,175,2024-09
2024,9,1,4,158,156,2024-09
2024,9,1,5,78,81,2024-09
2024,9,1,6,146,182,2024-09
2024,9,1,7,167,156,2024-09
2024,9,1,8,104,102,2024-09
2024,9,1,10,88,91,2024-09
2024,9,1,17,69,88,2024-09
2024,9,1,33,63,72,2024-09
2024,9,2,11,154,146,2024-09
2024,9,2,12,202,195,2024-09
2024,9,2,14,86,104,2024-09
2024,9,2,16,59,70,2024-09
2024,9,2,17,82,77,2024-09
2024,9,2,35,103,108,2024-09
2024,9,2,36,56,61,2024-09
2024,9,2,47,226,239,2024-09
2024,9,2,61,137,118,2024-09
2024,9,2,62,61,70,2024-09
2024,9,3,22,6,5,2024-09
2024,9,3,23,1,2,2024-09
2024,9,3,38,11,8,2024-09
2024,9,3,51,3,4,2024-09
2024,9,3,183,1,1,2024-09
2024,9,3,184,1,1,2024-09
2024,9,3,185,1,1,2024-09
2024,9,3,186,1,1,2024-09
2024,9,3,187,1,1,2024-09
2024,9,3,188,1,1,2024-09
2024,9,3,189,1,1,2024-09
2024,10,1,1,596,692,2024-10
2024,10,1,3,202,193,2024-10
2024,10,1,4,117,136,2024-10
2024,10,1,5,109,101,2024-10
2024,10,1,6,276,256,2024-10
2024,10,1,7,188,174,2024-10
2024,10,1,8,111,108,2024-10
2024,10,1,10,102,100,2024-10
2024,10,1,59,110,112,2024-10
2024,10,1,60,95,93,2024-10
2024,10,2,11,147,143,2024-10
2024,10,2,12,182,184,2024-10
2024,10,2,14,185,150,2024-10
2024,10,2,16,141,110,2024-10
2024,10,2,17,79,82,2024-10
2024,10,2,35,77,90,2024-10
2024,10,2,47,419,375,2024-10
2024,10,2,48,217,182,2024-10
2024,10,2,62,69,74,2024-10
2024,10,2,167,43,63,2024-10
2024,10,3,22,5,5,2024-10
2024,10,3,23,5,2,2024-10
2024,10,3,63,4,7,2024-10
2024,10,3,64,6,5,2024-10
2024,10,3,168,1,1,2024-10
2024,10,3,169,1,1,2024-10
2024,10,3,170,1,1,2024-10
2024,10,3,171,1,1,2024-10
2024,10,3,172,1,1,2024-10
2024,10,3,173,1,1,2024-10
2024,11,1,1,834,789,2024-11
2024,11,1,3,194,198,2024-11
2024,11,1,4,178,167,2024-11
2024,11,1,5,93,95,2024-11
2024,11,1,6,348,322,2024-11
2024,11,1,7,171,174,2024-11
2024,11,1,10,90,94,2024-11
2024,11,1,17,100,97,2024-11
2024,11,1,59,116,110,2024-11
2024,11,1,60,87,89,2024-11
2024,11,2,12,176,178,2024-11
2024,11,2,16,76,87,2024-11
2024,11,2,17,92,87,2024-11
2024,11,2,35,51,89,2024-11
2024,11,2,36,47,71,2024-11
2024,11,2,46,104,96,2024-11
2024,11,2,47,360,335,2024-11
2024,11,2,50,44,57,2024-11
2024,11,2,61,281,118,2024-11
2024,11,2,62,57,74,2024-11
2024,11,3,22,3,3,2024-11
2024,11,3,23,4,3,2024-11
2024,11,3,38,5,6,2024-11
2024,11,3,51,4,5,2024-11
2024,11,3,64,4,4,2024-11
2024,11,3,158,1,1,2024-11
2024,11,3,159,1,1,2024-11
2024,11,3,160,1,1,2024-11
2024,11,3,161,1,1,2024-11
2024,11,3,162,1,1,2024-11
2024,12,1,1,780,746,2024-12
2024,12,1,3,190,201,2024-12
2024,12,1,4,198,183,2024-12
2024,12,1,6,232,263,2024-12
2024,12,1,7,192,169,2024-12
2024,12,1,8,115,113,2024-12
2024,12,1,10,114,108,2024-12
2024,12,1,17,97,100,2024-12
2024,12,1,59,117,112,2024-12
2024,12,1,60,93,96,2024-12
2024,12,2,14,66,145,2024-12
2024,12,2,16,83,85,2024-12
2024,12,2,17,90,89,2024-12
2024,12,2,35,62,91,2024-12
2024,12,2,46,109,101,2024-12
2024,12,2,47,214,267,2024-12
2024,12,2,48,299,235,2024-12
2024,12,2,62,71,79,2024-12
2024,12,2,74,178,142,2024-12
2024,12,2,75,73,81,2024-12
2024,12,3,22,3,3,2024-12
2024,12,3,51,6,5,2024-12
2024,12,3,63,10,9,2024-12
2024,12,3,64,2,3,2024-12
2024,12,3,76,1,1,2024-12
2024,12,3,77,1,1,2024-12
2024,12,3,78,1,1,2024-12
2024,12,3,79,1,1,2024-12
2024,12,3,80,1,1,2024-12
2024,12,3,81,1,1,2024-12
